space,ID,sdg_type,raw_material,layer,exp_type,D2,p_emp,p_chisq
SP,SDG_L4_2527,Unifacial_unidirection,chert,4,Multiplatform,7.207435694227358,0.2,0.20566451136676364
SP,SDG_L4_2733,Bifacial_independent,chert,4,Unidirectional,10.885322564735398,0,0.05370170899271731
SP,SDG_L4_2733,Bifacial_independent,chert,4,Bidirectional,12.083703218254536,0,0.033658680058822686
SP,SDG_L4_2733,Bifacial_independent,chert,4,Levallois,9.782465418606652,0.047619047619047616,0.08163892622764785
SP,SDG_L4_2733,Bifacial_independent,chert,4,Discoid,15.597912862314317,0,0.008090923577332897
SP,SDG_L4_2733,Bifacial_independent,chert,4,Multiplatform,10.69778697119426,0.1,0.057712379093607394
SP,SDG_L4_2818,Multifacial,sandstone,4,Unidirectional,5.727569586092186,0.125,0.3336364407146258
SP,SDG_L4_2818,Multifacial,sandstone,4,Bidirectional,17.702404305904444,0,0.0033434563060339394
SP,SDG_L4_2818,Multifacial,sandstone,4,Levallois,5.893891678560996,0.23809523809523808,0.3166810508820486
SP,SDG_L4_2818,Multifacial,sandstone,4,Discoid,19.824411642332645,0,0.0013481728130598602
SP,SDG_L4_2818,Multifacial,sandstone,4,Multiplatform,9.008456782019037,0.2,0.10872732042379796
SP,SDG_L4_3095,Bifacial_adjacent,chert,4,Unidirectional,5.351183598713041,0.125,0.37454012950351045
SP,SDG_L4_3095,Bifacial_adjacent,chert,4,Bidirectional,18.57652288170401,0,0.0023042468560721843
SP,SDG_L4_3095,Bifacial_adjacent,chert,4,Levallois,3.836581921293864,0.6666666666666666,0.5731759973180102
SP,SDG_L4_3095,Bifacial_adjacent,chert,4,Discoid,17.998601963706147,0,0.002948157225682962
SP,SDG_L4_3095,Bifacial_adjacent,chert,4,Multiplatform,9.800538687032109,0.1,0.0810882422359796
SP,SDG_L4_3155,Unifacial_unidirection,chert,4,Unidirectional,6.4941984511112345,0.0625,0.26105457377806257
SP,SDG_L4_3155,Unifacial_unidirection,chert,4,Bidirectional,22.077284765181197,0,5.061782658764679e-4
SP,SDG_L4_3155,Unifacial_unidirection,chert,4,Levallois,11.248525940453762,0,0.046669127108023734
SP,SDG_L4_3155,Unifacial_unidirection,chert,4,Discoid,26.19057140694706,0,8.19531968307808e-5
SP,SDG_L4_3155,Unifacial_unidirection,chert,4,Multiplatform,17.394765537412617,0,0.0038088838868792505
SP,SDG_L4_3192,Multifacial,chert,4,Unidirectional,2.013955954780136,0.3125,0.8472106130815006
