order,cv_pct,cumul_pct,dataset,face_target,smooth_iters,setting
8,56.606975817913984,98.05844403915557,EXP,20000,0,f20000_s0
9,54.57270035540866,98.56523160735277,EXP,20000,0,f20000_s0
10,56.29856223971671,98.92029572197613,EXP,20000,0,f20000_s0
11,62.0732470262337,99.19680745975657,EXP,20000,0,f20000_s0
12,64.6615622237742,99.39588213765987,EXP,20000,0,f20000_s0
13,56.73916866043871,99.53804158408089,EXP,20000,0,f20000_s0
14,60.5827924468183,99.6529476840713,EXP,20000,0,f20000_s0
15,52.127116822818486,99.74682012924629,EXP,20000,0,f20000_s0
16,64.5600921661897,99.82106325094529,EXP,20000,0,f20000_s0
17,56.97458440926157,99.88177020706351,EXP,20000,0,f20000_s0
18,52.17777697930034,99.92745803699931,EXP,20000,0,f20000_s0
19,52.27835619966381,99.96735087503131,EXP,20000,0,f20000_s0
20,55.106668088434255,100.00000000000003,EXP,20000,0,f20000_s0
1,69.60185031066565,27.874014220490483,SDG,20000,0,f20000_s0
2,42.68791209585314,72.21837237620045,SDG,20000,0,f20000_s0
3,59.519409172354756,83.37251989439997,SDG,20000,0,f20000_s0
4,57.3474366884308,90.15945792854477,SDG,20000,0,f20000_s0
5,43.10443714562403,93.43279092836092,SDG,20000,0,f20000_s0
6,47.876315280865164,95.64958583461403,SDG,20000,0,f20000_s0
7,47.492035944634885,96.85165876466537,SDG,20000,0,f20000_s0
8,43.794499464414194,97.7535949760908,SDG,20000,0,f20000_s0
9,49.071630217914766,98.32382588002115,SDG,20000,0,f20000_s0
10,47.93253982957625,98.73412369984892,SDG,20000,0,f20000_s0
11,51.30508608819909,99.04748133400551,SDG,20000,0,f20000_s0
12,47.07813945627272,99.26925629763839,SDG,20000,0,f20000_s0
13,50.824079221819304,99.44385011692292,SDG,20000,0,f20000_s0
14,47.21617103961003,99.58376125285085,SDG,20000,0,f20000_s0
15,49.065594524980085,99.69217835134869,SDG,20000,0,f20000_s0
16,53.310850220609666,99.7815070591176,SDG,20000,0,f20000_s0
17,47.48375921587096,99.852144666873,SDG,20000,0,f20000_s0
18,50.052746302583714,99.91130814213165,SDG,20000,0,f20000_s0
19,44.736758504704916,99.96068569666254,SDG,20000,0,f20000_s0
20,47.02182683385288,100,SDG,20000,0,f20000_s0
1,55.385871291244285,43.616815506143894,EXP,20000,6,f20000_s6
2,61.188982511026154,77.15508596834991,EXP,20000,6,f20000_s6
3,82.48597360354391,87.28841756216352,EXP,20000,6,f20000_s6
4,59.20255447953878,92.61906568015246,EXP,20000,6,f20000_s6
5,73.07032258901498,95.29795745077617,EXP,20000,6,f20000_s6
6,68.69581344796454,97.0316140786399,EXP,20000,6,f20000_s6
7,57.10090835855344,97.86230752459001,EXP,20000,6,f20000_s6
8,52.71619783303687,98.48672872955468,EXP,20000,6,f20000_s6
9,59.863071849521596,98.87511124998763,EXP,20000,6,f20000_s6
10,51.79582148877103,99.16523311720306,EXP,20000,6,f20000_s6
11,52.300747145040596,99.36378561554649,EXP,20000,6,f20000_s6
12,70.32108738231676,99.53276743649255,EXP,20000,6,f20000_s6
13,55.39485509486699,99.64753249056403,EXP,20000,6,f20000_s6
14,51.557973565739566,99.73802512950265,EXP,20000,6,f20000_s6
15,56.46502020781068,99.80701008166936,EXP,20000,6,f20000_s6
16,48.67612020336999,99.86473755799712,EXP,20000,6,f20000_s6
17,51.381068907360984,99.90821048632664,EXP,20000,6,f20000_s6
18,56.225542958102814,99.94652780308427,EXP,20000,6,f20000_s6
19,49.10478412495557,99.97583088526612,EXP,20000,6,f20000_s6
20,51.71103176218254,100,EXP,20000,6,f20000_s6
1,45.20638294542604,48.96478607931194,SDG,20000,6,f20000_s6
2,57.29678869578747,79.38978575790463,SDG,20000,6,f20000_s6
3,53.110220846287014,87.93935672412154,SDG,20000,6,f20000_s6
4,56.12806479685195,92.93161120568443,SDG,20000,6,f20000_s6
5,43.08870833605793,95.3312151297838,SDG,20000,6,f20000_s6
6,56.582006632377635,96.86632354736811,SDG,20000,6,f20000_s6
7,49.066954720650514,97.79322121795362,SDG,20000,6,f20000_s6
8,47.18411689055981,98.4109643737035,SDG,20000,6,f20000_s6
9,54.81617182080942,98.82293519615585,SDG,20000,6,f20000_s6
10,50.61699834719187,99.13017285788837,SDG,20000,6,f20000_s6
11,54.55755987183759,99.34373810647344,SDG,20000,6,f20000_s6
12,45.15123932615148,99.49831447112315,SDG,20000,6,f20000_s6
13,43.28428118114805,99.61730611374169,SDG,20000,6,f20000_s6
14,47.08240095329951,99.71570903891144,SDG,20000,6,f20000_s6
15,48.60975470940318,99.79060217980359,SDG,20000,6,f20000_s6
16,54.7833106512953,99.85095717226092,SDG,20000,6,f20000_s6
17,49.42970588507111,99.89865866584844,SDG,20000,6,f20000_s6
18,54.44761190996499,99.94057335876882,SDG,20000,6,f20000_s6
19,41.411800362202996,99.9725600065803,SDG,20000,6,f20000_s6
20,50.202860980553,100,SDG,20000,6,f20000_s6
