version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,Raw_mat:SDI,1,1.767559007491176,0.01904456189100105,1.1032916565327442,0.3304,free
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,Residual,41,65.68518748241563,0.7077249546007683,NA,NA,free
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,Total,49,92.81174424528949,1,NA,NA,free
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,Raw_mat,1,3.8807142815719184,0.04181275024112994,2.4223008511172064,0.0025,restricted_within_rawmat
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,core_type,5,19.626522910338057,0.21146594183671072,2.450133645547653,8e-4,restricted_within_rawmat
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,SDI,1,1.8517605634727055,0.019951791430389894,1.1558493781068344,0.3253,restricted_within_rawmat
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,Raw_mat:SDI,1,1.767559007491176,0.01904456189100105,1.1032916565327442,0.3588,restricted_within_rawmat
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,Residual,41,65.68518748241563,0.7077249546007683,NA,NA,restricted_within_rawmat
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,Total,49,92.81174424528949,1,NA,NA,restricted_within_rawmat
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,Raw_mat,1,0.13015464596970014,0.029797634464081273,1.7426807086603757,0.0959,free
B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),50,9999,42,core_type,5,0.9570975667488896,0.21911813618304712,2.5629749187245534,2e-4,free
