model,model_label,version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
M2,M2 raw material controlled,A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,SDI,1,2.1550791106695826,0.028880485047167954,1.58347871085415,0.1838,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer:SDI,1,0.8930225472152742,0.011967506990321728,0.6561625440231642,0.5699,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Residual,38,51.717150122763535,0.6930680054425223,NA,NA,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Total,47,74.62059958999586,1,NA,NA,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Raw_mat,1,3.7119592472800695,0.04176474596316149,2.2441774606203593,0.065,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer,1,1.0075133684379391,0.011335938000432687,0.6091227414144943,0.6686,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,core_type,5,17.4341055767955,0.19615813159676726,2.108063379746914,0.0081,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,SDI,1,1.5092399389553748,0.01698106537514276,0.9124567453571906,0.4436,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer:SDI,1,2.361474716204995,0.026569901513061808,1.4277011084686229,0.2076,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Residual,38,62.85351932803517,0.707190217551434,NA,NA,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Total,47,88.87781217570905,1,NA,NA,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Raw_mat,1,3.7119592472800695,0.04176474596316149,2.2441774606203593,0.0661,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer,1,1.0075133684379391,0.011335938000432687,0.6091227414144943,0.9052,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,core_type,5,17.4341055767955,0.19615813159676726,2.108063379746914,0.0077,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,SDI,1,1.5092399389553748,0.01698106537514276,0.9124567453571906,0.4491,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer:SDI,1,2.361474716204995,0.026569901513061808,1.4277011084686229,0.1853,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Residual,38,62.85351932803517,0.707190217551434,NA,NA,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Total,47,88.87781217570905,1,NA,NA,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Raw_mat,1,0.13110503385788172,0.0299503800129571,1.6254107601598473,0.1188,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer,1,0.06312967511593692,0.014421702235067647,0.7826675315157661,0.5974,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,core_type,5,0.9333226250464549,0.2132135317178861,2.314224851344168,3e-4,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,SDI,1,0.10011174894034736,0.022870097633134495,1.2411629756524354,0.2701,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer:SDI,1,0.08467292507648483,0.01934316485207107,1.049755905350793,0.387,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Residual,38,3.0650660182104144,0.7002011235488835,NA,NA,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Total,47,4.377408026247521,1,NA,NA,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Raw_mat,1,0.13110503385788172,0.0299503800129571,1.6254107601598473,0.1285,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer,1,0.06312967511593692,0.014421702235067647,0.7826675315157661,0.6181,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,core_type,5,0.9333226250464549,0.2132135317178861,2.314224851344168,1e-4,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,SDI,1,0.10011174894034736,0.022870097633134495,1.2411629756524354,0.2659,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer:SDI,1,0.08467292507648483,0.01934316485207107,1.049755905350793,0.3484,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Residual,38,3.0650660182104144,0.7002011235488835,NA,NA,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Total,47,4.377408026247521,1,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer,1,1.3306879922798984,0.017832716429395983,0.9223808127359961,0.4325,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,core_type,5,12.696272011898648,0.17014433121227285,1.7601117264142403,0.0412,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,SDI,1,2.8297985376953587,0.037922484585271816,1.9615055446668195,0.1089,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer:SDI,1,1.4998435946429005,0.020099591840374055,1.0396328529525087,0.3679,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Residual,39,56.263997453479064,0.7540008759326854,NA,NA,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Total,47,74.62059958999586,1,NA,NA,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer,1,1.3306879922798984,0.017832716429395983,0.9223808127359961,0.0391,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,core_type,5,12.696272011898648,0.17014433121227285,1.7601117264142403,0.0422,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,SDI,1,2.8297985376953587,0.037922484585271816,1.9615055446668195,0.1196,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer:SDI,1,1.4998435946429005,0.020099591840374055,1.0396328529525087,0.3471,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Residual,39,56.263997453479064,0.7540008759326854,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Total,47,74.62059958999586,1,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer,1,1.5298528392803667,0.017212989404553396,0.884588755344211,0.4566,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,core_type,5,15.418875291773652,0.17348396539387073,1.7830948641535398,0.0305,free
