ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP59_Subconical unidirectional,Unidirectional,24,0.0,0.33843266,0.31307501,0.25107579,0.07460791,0.01973316,0.0026698,0.00035312,3.752e-05,9.23e-06,2.1e-06,1.97e-06,9.1e-07,4e-07,3e-07,5e-08,5e-08,1e-08,0.0,1e-08,0.0
IM_Levallois_convergent,Levallois_convergent,24,0.0,0.2909484,0.58810234,0.0412318,0.04377495,0.02857536,0.00414269,0.00314403,4.787e-05,5.27e-06,9.41e-06,5.59e-06,6.35e-06,2.48e-06,2.23e-06,6.8e-07,4e-07,9e-08,2e-08,1e-08,3e-08
IM_Levallois_laminar,Levallois_laminar,25,0.0,0.24334362,0.58527289,0.07495452,0.05158168,0.03580424,0.00595349,0.00295353,0.00010275,1.332e-05,6.83e-06,3.84e-06,4.82e-06,1.82e-06,1.73e-06,5.1e-07,3.1e-07,7e-08,1e-08,0.0,2e-08
IM_Levallois_preferential,Levallois_preferential,24,0.0,0.28000391,0.62679227,0.01949124,0.03479781,0.03000165,0.00548835,0.00337504,1.549e-05,5.41e-06,1.067e-05,4.65e-06,7.12e-06,2.5e-06,2.59e-06,7.1e-07,4.6e-07,9e-08,1e-08,0.0,3e-08
IM_Multiplatform,multifacial,6,0.0,0.00046569,0.00499529,0.00120883,0.97157291,0.00036377,0.01872116,3.43e-05,0.00233769,2.61e-06,0.00021475,4e-07,6.219e-05,9e-08,1.729e-05,1e-08,2.69e-06,0.0,1.5e-07,0.0,1.8e-07
IM_biface,biface,24,0.0,0.01027991,0.92278744,0.03834021,0.02244087,0.00314928,0.00282932,2.135e-05,0.00014317,1.82e-06,5.69e-06,3e-08,6.5e-07,0.0,2.2e-07,0.0,3e-08,0.0,0.0,0.0,0.0
IM_conical_unipolar_cortical,conical_unipolar_cortical,12,0.0,0.42860373,0.34641024,0.16424388,0.04968673,0.00974731,0.00121517,8.983e-05,2.84e-06,1e-07,1.3e-07,2e-08,2e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IM_conical_unipolar_scarred,conical_unipolar_scarred,13,0.0,0.43988044,0.32420804,0.16903034,0.05545505,0.01015362,0.00116745,0.00010037,4.21e-06,2.5e-07,1.7e-07,2e-08,2e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IM_cylindrical_bipolar,cylindrical_bipolar,12,0.0,2.6e-07,0.79372406,8.7e-07,0.19253904,2.8e-07,0.01339275,2e-08,0.00033938,0.0,3.3e-06,0.0,3e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IM_cylindrical_unipolar_cortical,cylindrical_unipolar_cortical,12,0.0,0.35906013,0.33302027,0.19589061,0.08077926,0.0244665,0.00561849,0.00100502,0.00014236,1.585e-05,1.39e-06,1.1e-07,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IM_cylindrical_unipolar_scarred,cylindrical_unipolar_scarred,13,0.0,0.36730983,0.31317841,0.20042268,0.0873669,0.02502755,0.00549835,0.00102829,0.00015024,1.621e-05,1.39e-06,1.1e-07,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IM_discoid,bifacial_discoid,16,0.0,0.00063967,0.65022083,5.435e-05,0.30500487,7.69e-05,0.04348319,8.46e-06,0.00045615,3.3e-07,3.124e-05,1e-08,1.738e-05,0.0,5.61e-06,0.0,9.3e-07,0.0,1e-08,0.0,6e-08
IM_discoid_unifacial,unifacial_discoid,8,0.0,0.56566608,0.08258273,0.30584608,0.03525596,0.00504435,0.00526389,0.00025,5.876e-05,2.099e-05,3.79e-06,3.06e-06,2.04e-06,1.2e-06,6.5e-07,3e-07,1.1e-07,2e-08,0.0,0.0,1e-08
SDG_L2_489,,4,0.0,0.43339636,0.26672913,0.20362834,0.07763028,0.01521243,0.00282064,0.00049894,7.323e-05,9.66e-06,9.1e-07,7e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDG_L2_494,,4,0.0,0.43737282,0.34118137,0.15775079,0.04940591,0.01160541,0.00224821,0.00037745,5.237e-05,5.27e-06,3.7e-07,3e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDG_L3_1066,,10,0.0,0.59283193,0.26333467,0.09323208,0.03755031,0.0106315,0.00207064,0.00030536,3.41e-05,6.33e-06,1.71e-06,7.1e-07,3.8e-07,1.4e-07,9e-08,2e-08,1e-08,1e-08,0.0,1e-08,0.0
SDG_L3_1163,,6,0.0,0.41264124,0.30117524,0.20216501,0.05872082,0.02089094,0.00370713,0.00057012,0.00011726,1.137e-05,7.8e-07,6e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDG_L3_1191,,5,0.0,0.57050333,0.25261094,0.11425374,0.04867112,0.01136164,0.0021065,0.00042699,5.857e-05,6.15e-06,8e-07,9e-08,8e-08,1e-08,2e-08,1e-08,0.0,0.0,0.0,0.0,0.0
SDG_L3_1318,,9,0.0,0.2312797,0.50281422,0.05755832,0.18108519,0.01676331,0.00887553,0.0013309,0.00018132,6.058e-05,2.489e-05,1.463e-05,6.6e-06,3.08e-06,1.2e-06,3e-07,8e-08,2e-08,2e-08,6e-08,4e-08
SDG_L3_1416,,9,0.0,0.67888688,0.21853287,0.07254944,0.01810202,0.0081907,0.00286992,0.00073071,0.00011503,1.7e-05,2.93e-06,1.32e-06,7.1e-07,1.8e-07,1.8e-07,3e-08,3e-08,3e-08,1e-08,2e-08,1e-08
SDG_L3_1437,,7,0.0,0.468795,0.10643611,0.26088351,0.13520386,0.0216011,0.00577143,0.00108941,0.00015652,2.348e-05,2.413e-05,4.85e-06,7.16e-06,1.24e-06,1.6e-06,2.3e-07,2.1e-07,3e-08,5e-08,1e-08,5e-08
SDG_L3_1492,,6,0.0,0.39791696,0.35227719,0.10976634,0.10760454,0.0261356,0.00530606,0.00079756,0.00013473,4.213e-05,9.61e-06,4.84e-06,2.6e-06,9.6e-07,5.4e-07,1.1e-07,8e-08,6e-08,3e-08,5e-08,2e-08
SDG_L3_1547,,10,0.0,0.41113955,0.32016733,0.12413798,0.12486098,0.01610452,0.00286822,0.00063491,6.617e-05,1.596e-05,1.94e-06,1.17e-06,7.6e-07,1.8e-07,2.2e-07,3e-08,3e-08,3e-08,0.0,2e-08,0.0
SDG_L3_155,,14,0.0,0.34672097,0.43457225,0.11415958,0.09371584,0.00625642,0.00421936,0.0002883,6.439e-05,1.98e-06,7.4e-07,8e-08,7e-08,1e-08,2e-08,0.0,0.0,0.0,0.0,0.0,0.0
SDG_L3_1677,,7,0.0,0.62021801,0.23798948,0.09478385,0.03880037,0.00700423,0.00083536,0.00022463,6.502e-05,3.069e-05,2.045e-05,1.435e-05,7.27e-06,3.82e-06,1.57e-06,6.1e-07,1.7e-07,4e-08,2e-08,3e-08,3e-08
SDG_L3_1748,,7,0.0,0.58049031,0.17251363,0.15192107,0.07938914,0.01386649,0.00141356,0.00032542,6.833e-05,1.035e-05,1.25e-06,2e-07,1.6e-07,2e-08,5e-08,1e-08,1e-08,1e-08,0.0,0.0,0.0
SDG_L3_188,,5,0.0,0.51779195,0.34071238,0.11508839,0.02154824,0.00332617,0.00109208,0.0003576,7.11e-05,1.031e-05,1.47e-06,1.7e-07,8e-08,2e-08,2e-08,1e-08,0.0,1e-08,0.0,0.0,0.0
SDG_L3_303,,9,0.0,0.13427134,0.57725989,0.19500955,0.06825798,0.02002273,0.00430844,0.00076714,8.936e-05,1.282e-05,6.4e-07,7e-08,3e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDG_L3_434,,6,0.0,0.54451086,0.28188269,0.09972356,0.04745906,0.02020989,0.00525997,0.00085483,8.909e-05,5.81e-06,1.8e-06,1.34e-06,6.9e-07,1.7e-07,1.6e-07,2e-08,2e-08,2e-08,0.0,2e-08,0.0
SDG_L3_55,,5,0.0,0.26966309,0.42395563,0.16053679,0.11521684,0.02659451,0.0032004,0.00071455,0.00010589,1.075e-05,1.39e-06,7e-08,5e-08,1e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
SDG_L3_636,,6,0.0,0.5131303,0.16673589,0.12014067,0.1627325,0.03161826,0.00428444,0.00109953,0.0001026,5.195e-05,3.959e-05,2.78e-05,1.698e-05,1.038e-05,5.16e-06,2.48e-06,9.6e-07,3.2e-07,9e-08,4e-08,5e-08
