order,cv_pct,cumul_pct,dataset,h
18,152.1291536186204,99.99999491525423,EXP,0.4
19,213.47480208489645,99.99999847457627,EXP,0.4
20,183.14979783266838,100,EXP,0.4
1,35.22965643622465,51.402483657095424,SDG,0.4
2,47.625752039994204,84.13708717115833,SDG,0.4
3,53.19852490346442,95.70866397401575,SDG,0.4
4,61.624044226797395,99.23844779861535,SDG,0.4
5,70.77834125967401,99.88901876343458,SDG,0.4
6,71.90377366760178,99.98244392724081,SDG,0.4
7,75.38755967258787,99.99595547271993,SDG,0.4
8,116.91423333656026,99.99786909090521,SDG,0.4
9,155.51595378721504,99.99892767272532,SDG,0.4
10,204.60993781329003,99.99939301818071,SDG,0.4
11,185.34701872668919,99.99972503636313,SDG,0.4
12,194.95328062569413,99.99987543636341,SDG,0.4
13,212.9842829287795,99.99994954545444,SDG,0.4
14,175.38096210726488,99.99998225454542,SDG,0.4
15,256.5899143909849,99.99999163636362,SDG,0.4
16,154.46542849400217,99.99999505454544,SDG,0.4
17,113.72584793759086,99.99999696363636,SDG,0.4
18,218.68277590153875,99.99999743636363,SDG,0.4
19,129.67552097732533,99.99999925454544,SDG,0.4
20,231.22423849506544,100,SDG,0.4
1,28.88640868988974,56.25117720127398,EXP,0.45
2,50.07450515087992,83.60528872380915,EXP,0.45
3,64.11067413574153,96.3418350591162,EXP,0.45
4,68.52271144570095,99.5617327616719,EXP,0.45
5,85.41240731845117,99.95016447445802,EXP,0.45
6,81.18700673921731,99.98800074573423,EXP,0.45
7,155.18158648692963,99.99484586439455,EXP,0.45
8,143.26957510922935,99.99638849151685,EXP,0.45
9,186.9606727362478,99.99827611863998,EXP,0.45
10,165.83695506293063,99.99893299999746,EXP,0.45
11,186.86999550245244,99.99953444067685,EXP,0.45
12,150.24679806648115,99.99977916949099,EXP,0.45
13,174.46344359564688,99.99990352542349,EXP,0.45
14,137.79458158852034,99.99996837288127,EXP,0.45
15,130.86281563147318,99.99998137288131,EXP,0.45
16,133.8955119067133,99.99999089830506,EXP,0.45
17,100.56547018287863,99.99999428813557,EXP,0.45
18,154.23798824897574,99.99999508474575,EXP,0.45
19,184.47742655576366,99.99999910169491,EXP,0.45
20,183.37937115141116,100,EXP,0.45
1,32.51034998484036,57.538353712335486,SDG,0.45
2,52.428555761629426,89.04074312752121,SDG,0.45
3,57.56640065930494,97.7503673054097,SDG,0.45
4,64.47299959915146,99.70605690860992,SDG,0.45
5,79.51235466566355,99.96589889085328,SDG,0.45
6,77.61914000752972,99.99281789089733,SDG,0.45
7,76.39593143655837,99.99735639999568,SDG,0.45
8,143.66655756849994,99.99814159999696,SDG,0.45
9,110.84710144671226,99.99916063636226,SDG,0.45
10,157.60507483798102,99.99947267272641,SDG,0.45
11,124.60699977177107,99.99978669090875,SDG,0.45
12,134.87506950150302,99.99989699999983,SDG,0.45
13,154.53562146347898,99.99995814545449,SDG,0.45
14,108.89526794912243,99.9999848181818,SDG,0.45
15,228.7161743786763,99.99999098181817,SDG,0.45
16,89.58463794313948,99.99999427272726,SDG,0.45
17,69.9832519189253,99.99999674545454,SDG,0.45
18,214.53943469103683,99.99999705454545,SDG,0.45
19,85.99002792423084,99.99999954545454,SDG,0.45
20,219.25800800443773,100,SDG,0.45
1,25.449598035286442,63.1106214762322,EXP,0.5
2,54.8628256510809,88.78652722382787,EXP,0.5
3,71.27601652879538,98.09300699482849,EXP,0.5
4,75.02786320443498,99.82184501646601,EXP,0.5
5,96.07152260394052,99.97885566095961,EXP,0.5
6,92.66084232891791,99.99066420336452,EXP,0.5
7,156.39149073390993,99.99573316947996,EXP,0.5
8,143.48527599223638,99.99665818643162,EXP,0.5
9,166.8840530951616,99.99858493219955,EXP,0.5
10,139.6908197347244,99.99903050847195,EXP,0.5
11,171.218064508741,99.99962608474475,EXP,0.5
12,125.0611887168478,99.999807169491,EXP,0.5
13,172.2546206272459,99.99992072881335,EXP,0.5
14,120.28778896383838,99.99997289830502,EXP,0.5
15,152.59253788664043,99.9999823050847,EXP,0.5
16,127.74353804063989,99.99999062711863,EXP,0.5
17,79.38250538703315,99.99999440677966,EXP,0.5
18,168.8353161654111,99.99999491525423,EXP,0.5
19,148.61182874186,99.9999993898305,EXP,0.5
20,163.93677461347215,100,EXP,0.5
1,29.80819507675121,63.29408304350792,SDG,0.5
2,58.10623542999793,92.60865773944651,SDG,0.5
3,61.644706060992824,98.85977515990471,SDG,0.5
4,66.57862311929034,99.8864099450828,SDG,0.5
5,90.21676481188707,99.98626770904598,SDG,0.5
6,83.62319937437752,99.99400518179857,SDG,0.5
7,65.81958322171388,99.99743276362797,SDG,0.5
8,114.48239885913891,99.9979381454478,SDG,0.5
9,75.35487407365595,99.99918919999735,SDG,0.5
10,103.82857253177087,99.99942870908906,SDG,0.5
11,81.5071780444736,99.99979925454481,SDG,0.5
12,84.14371657490399,99.99989434545421,SDG,0.5
13,100.58937272751163,99.99995856363624,SDG,0.5
14,72.2920196101684,99.99998479999996,SDG,0.5
15,200.63910948618351,99.9999892181818,SDG,0.5
16,76.37122406904884,99.9999930181818,SDG,0.5
17,49.10649482449089,99.99999616363637,SDG,0.5
18,264.27498905736394,99.99999629090908,SDG,0.5
19,65.09893690327301,99.99999970909091,SDG,0.5
20,205.74784549522244,100.00000000000003,SDG,0.5
