ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
SDG_L3_645,,3,0.0,0.71623871,0.23228002,0.04342649,0.00714392,0.00080865,7.362e-05,2.048e-05,1.44e-06,4.34e-06,6.3e-07,1.12e-06,3e-07,1.2e-07,9e-08,0.0,1e-08,2e-08,0.0,2e-08,0.0
SDG_L3_804,,6,0.0,0.34590415,0.57026753,0.06908564,0.01388007,0.00078916,5.18e-05,1.056e-05,3.67e-06,3.42e-06,1.85e-06,9e-07,8.2e-07,1.2e-07,2.5e-07,1e-08,4e-08,1e-08,0.0,1e-08,0.0
SDG_L3_890,,4,0.0,0.7401889,0.21828799,0.03538549,0.00536229,0.00066748,6.798e-05,2.446e-05,2.07e-06,8.81e-06,1.16e-06,2.33e-06,5e-07,3e-07,1.5e-07,0.0,2e-08,3e-08,0.0,3e-08,0.0
SDG_L3_978,,7,0.0,0.76408875,0.20175158,0.02043371,0.01194234,0.00146561,0.00018656,8.491e-05,6.43e-06,2.62e-05,3.09e-06,7.71e-06,1.28e-06,1.24e-06,3.7e-07,4e-08,6e-08,5e-08,1e-08,7e-08,1e-08
SDG_L4_1788,,6,0.0,0.57403023,0.33542102,0.08403047,0.00574329,0.00069536,4.792e-05,1.61e-05,2.89e-06,7.91e-06,1.55e-06,2.07e-06,6.4e-07,2.7e-07,1.8e-07,0.0,3e-08,3e-08,0.0,3e-08,0.0
SDG_L4_1884,,7,0.0,0.86727795,0.10355762,0.02232262,0.00589309,0.00073513,6.143e-05,9.973e-05,4.56e-06,3.327e-05,1.91e-06,9.82e-06,8.1e-07,1.57e-06,2.4e-07,4e-08,4e-08,6e-08,0.0,9e-08,0.0
SDG_L4_1916,,12,0.0,0.36206122,0.57141067,0.05431906,0.01057078,0.00142051,0.00015163,3.055e-05,1.184e-05,1.166e-05,5.05e-06,3.51e-06,2.09e-06,6.2e-07,6.1e-07,4e-08,1e-07,2e-08,1e-08,3e-08,1e-08
SDG_L4_1951,,7,0.0,0.7706172,0.1875947,0.03601423,0.00537126,0.00034394,2.684e-05,2.066e-05,1.08e-06,6.77e-06,7.3e-07,1.77e-06,3.9e-07,2.1e-07,1.3e-07,0.0,2e-08,3e-08,0.0,2e-08,0.0
SDG_L4_2001,,4,0.0,0.72417889,0.22326467,0.04557176,0.00647186,0.00044377,4.225e-05,1.979e-05,1.26e-06,3.73e-06,5.3e-07,9.7e-07,2.7e-07,1e-07,9e-08,0.0,1e-08,2e-08,0.0,2e-08,0.0
SDG_L4_2004,,9,0.0,0.25891792,0.68605183,0.03511394,0.01791282,0.00181986,0.00011641,3.731e-05,5.32e-06,1.409e-05,3.27e-06,4.1e-06,1.68e-06,6.7e-07,5.7e-07,3e-08,1e-07,3e-08,0.0,4e-08,1e-08
