ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP23_Cylindrical unidirectional,Unidirectional,27,0.0,0.56755438,0.28659075,0.11721452,0.02563322,0.00275338,0.00022371,2.662e-05,1.3e-06,1.45e-06,1e-07,4.2e-07,4e-08,7e-08,1e-08,1e-08,0.0,1e-08,0.0,1e-08,0.0
EXP24_Cylindrical unidirectional,Unidirectional,12,0.0,0.60624468,0.30289956,0.07737783,0.01207607,0.00125674,0.00011918,2.16e-05,2.19e-06,1.23e-06,3.5e-07,3.2e-07,1.5e-07,3e-08,4e-08,0.0,1e-08,1e-08,0.0,1e-08,0.0
EXP25_Levallois Nubian,Levallois preferential,24,0.0,0.80547241,0.10685278,0.0598171,0.02170502,0.00563632,0.00016931,0.00022254,9.16e-06,7.995e-05,3.85e-06,2.406e-05,2.1e-06,3.98e-06,7.8e-07,1.2e-07,1.6e-07,1.4e-07,1e-08,2.1e-07,0.0
EXP26_Levallois recurrent,Levallois recurrent,21,0.0,0.76683263,0.18726279,0.03256071,0.00967524,0.00329345,0.00024597,8.034e-05,1.274e-05,2.102e-05,5.03e-06,5.96e-06,2.22e-06,9.1e-07,7e-07,3e-08,1.2e-07,5e-08,1e-08,6e-08,1e-08
EXP27_Levallois convergent,Levallois convergent,22,0.0,0.80311769,0.10776696,0.0523906,0.03118813,0.0048882,0.0002514,0.00024663,2.76e-05,7.891e-05,9.62e-06,2.43e-05,3.62e-06,4.62e-06,1e-06,3e-07,1.6e-07,9e-08,1e-08,1.7e-07,1e-08
EXP28_Levallois convergent,Levallois convergent,21,0.0,0.8173977,0.15538988,0.0115774,0.01256813,0.00274861,0.00021192,5.67e-05,4.49e-06,3.013e-05,2.78e-06,8.44e-06,1.64e-06,1.23e-06,6.2e-07,3e-08,1.2e-07,8e-08,1e-08,9e-08,0.0
EXP29_Levallois preferential,Levallois preferential,35,0.0,0.72440298,0.21659349,0.03365356,0.02345758,0.00159757,0.00024275,2.353e-05,1.1e-05,7.19e-06,5.04e-06,2.05e-06,2.01e-06,4.2e-07,5.5e-07,9e-08,8e-08,5e-08,1e-08,3e-08,1e-08
EXP30_Levallois Nubian,Levallois preferential,29,0.0,0.81452106,0.13014058,0.03891476,0.01344623,0.00267,0.00017666,7.413e-05,1.433e-05,2.548e-05,5.44e-06,7.82e-06,1.6e-06,1.39e-06,2.8e-07,9e-08,1e-08,5e-08,1e-08,7e-08,1e-08
EXP31_Levallois laminar,Levallois laminar,32,0.0,0.42708194,0.46166594,0.08316111,0.02418447,0.00318823,0.00048254,9.006e-05,6.871e-05,2.854e-05,2.539e-05,9.29e-06,8.96e-06,1.95e-06,2.21e-06,1.9e-07,2.9e-07,3e-08,3e-08,5e-08,4e-08
EXP32_Conical unidirectional,Unidirectional,16,0.0,0.44910184,0.46666557,0.0437437,0.03723447,0.00285829,0.00035167,2.729e-05,5.35e-06,6.02e-06,2.54e-06,1.81e-06,8.2e-07,3.6e-07,1.7e-07,4e-08,2e-08,1e-08,0.0,1e-08,1e-08
