order,cv_pct,cumul_pct,dataset,threshold_mm
2,41.08791113661957,69.01293539698861,EXP,10
3,47.71185339287013,88.2525791506011,EXP,10
4,57.81146209160302,97.33858983933807,EXP,10
5,66.01459264910753,99.51566871038679,EXP,10
6,60.009860127158845,99.91264467769959,EXP,10
7,70.0717815560705,99.98061311858493,EXP,10
8,83.96213482278195,99.9932594406574,EXP,10
9,126.99814269059723,99.99658998304044,EXP,10
10,202.07414785683483,99.99821669490981,EXP,10
11,152.17272391059495,99.99906581355647,EXP,10
12,201.76582593865726,99.99958937288011,EXP,10
13,143.86405496198438,99.99980642372822,EXP,10
14,188.51581897786434,99.99993250847436,EXP,10
15,148.76314169985528,99.99996918644058,EXP,10
16,162.60451551156848,99.99998632203385,EXP,10
17,138.38473097153522,99.99999199999998,EXP,10
18,126.82716314080685,99.99999403389829,EXP,10
19,203.74512527173522,99.99999764406779,EXP,10
20,185.48127254109005,100,EXP,10
1,38.34114605267852,43.93309221871446,SDG,10
2,42.04781332661206,76.96282126025548,SDG,10
3,46.25154119788357,91.4499001933088,SDG,10
4,57.584320631527476,97.88877906658556,SDG,10
5,59.80605924328392,99.59305778063437,SDG,10
6,59.61875329502686,99.92138098158948,SDG,10
7,65.10122043533619,99.98584674541337,SDG,10
8,76.67086522014174,99.9955438545325,SDG,10
9,140.85926335475537,99.99793692726672,SDG,10
10,227.0762959572192,99.99891579999685,SDG,10
11,243.4859398824455,99.99947325454393,SDG,10
12,248.27019477230326,99.99976352727205,SDG,10
13,263.52579783816276,99.9999025818179,SDG,10
14,247.5575626657656,99.9999647999999,SDG,10
15,289.3769816755826,99.99998601818179,SDG,10
16,267.44974921624356,99.99999290909089,SDG,10
17,220.38888959153303,99.99999538181818,SDG,10
18,230.00968232371224,99.99999652727273,SDG,10
19,191.6702373943901,99.99999847272728,SDG,10
20,246.87940680623214,100.00000000000003,SDG,10
